Keyword,Jaccard,Cosine,Diff_Jaccard_Minus_Cosine,Abs_Difference
abortion,0.0,0.0,0.0,0.0
border,0.05263157894736842,0.27511680126190186,-0.22248522231453344,0.22248522231453344
capitalism,0.0,0.0,0.0,0.0
climate_change,0.0,0.0,0.0,0.0
crime,0.05263157894736842,0.29639890789985657,-0.24376732895248815,0.24376732895248815
democracy,0.05263157894736842,0.27139735221862793,-0.2187657732712595,0.2187657732712595
education,0.1111111111111111,0.3989901542663574,-0.2878790431552463,0.2878790431552463
economy,0.17647058823529413,0.3021380603313446,-0.12566747209605048,0.12566747209605048
equality,0.05263157894736842,0.4240323603153229,-0.37140078136795446,0.37140078136795446
environment,0.0,0.0,0.0,0.0
freedom,0.1111111111111111,0.3779522180557251,-0.266841106944614,0.266841106944614
gas,0.05263157894736842,0.2777702808380127,-0.22513870189064428,0.22513870189064428
gun,0.0,0.0,0.0,0.0
healthcare,0.05263157894736842,0.1905648410320282,-0.13793326208465978,0.13793326208465978
immigrant,0.0,0.0,0.0,0.0
immigration,0.0,0.0,0.0,0.0
inflation,0.0,0.0,0.0,0.0
job,0.05263157894736842,0.2719777226448059,-0.2193461436974375,0.2193461436974375
justice,0.0,0.0,0.0,0.0
medicare,0.0,0.0,0.0,0.0
military,0.05263157894736842,0.4400947093963623,-0.3874631304489939,0.3874631304489939
patriotism,0.05263157894736842,0.42656707763671875,-0.37393549868935033,0.37393549868935033
police,0.0,0.0,0.0,0.0
racism,0.0,0.0,0.0,0.0
right,0.05263157894736842,0.405333012342453,-0.3527014333950846,0.3527014333950846
security,0.0,0.0,0.0,0.0
social_security,0.05263157894736842,0.3104438781738281,-0.2578122992264597,0.2578122992264597
tax,0.0,0.0,0.0,0.0
terrorism,0.0,0.0,0.0,0.0
truth,0.05263157894736842,0.4045727849006653,-0.35194120595329687,0.35194120595329687
veteran,0.17647058823529413,0.43075665831565857,-0.2542860700803644,0.2542860700803644
voting_right,0.0,0.0,0.0,0.0
